# no	arxiv	source	title per Semantic Scholar	entry
1	2602.08216	id		[1] G. Kim Thermodynamic isomorphism of transformers: a lagrangian approach to attention dynamics. arXiv preprint arXiv:
2	2210.01117	s2	Omnigrok: Grokking Beyond Algorithmic Data	[2] Z. Liu, E. J. Michaud, and M. Tegmark Omnigrok: grokking beyond algorithmic data. In International Conference on Lea
3		s2	Decoupled Weight Decay Regularization	[3] I. Loshchilov and F. Hutter Decoupled weight decay regularization. In International Conference on Learning Represent
4	2301.05217	s2	Progress measures for grokking via mechanistic interpretability	[4] N. Nanda, L. Chan, T. Lieberum, J. Smith, and J. Steinhardt Progress measures for grokking via mechanistic interpret
5	2201.02177	s2	Grokking: Generalization Beyond Overfitting on Small Algorithmic Datasets	[5] A. Power, Y. Burda, H. Edwards, I. Babuschkin, and V. Misra Grokking: generalization beyond overfitting on small alg
6	2104.09864	id		[6] J. Su, Y. Lu, S. Pan, A. Murtadha, B. Wen, and Y. Liu RoFormer: enhanced transformer with rotary position embedding.
7	2206.04817	id		[7] V. Thilak, E. Littwin, S. Zhai, O. Saremi, R. Paiss, and J. Susskind The slingshot mechanism: an empirical study of 
