# no	arxiv	source	title per Semantic Scholar	entry
50		—		Kaifeng Lyu, Jikai Jin, Zhiyuan Li, Simon Shaolei Du, Jason D. Lee, Wei Hu, Dichotomy of Early and Late Phase Implicit B
51		—		Mohamad Amin Mohamadi, Zhiyuan Li, Lei Wu, Danica J. Sutherland, Why Do You Grok? A Theoretical Analysis on Grokking Mod
52		—		David Barrett, Benoit Dherin, Implicit Gradient Regularization, International Conference on Learning Representations, 20
53		—		Diederik P. Kingma, Jimmy Ba, Adam: A Method for Stochastic Optimization, 1412.6980, 2017
54		—		Hoyeon Chang, Jinho Park, Hanseul Cho, Sohee Yang, Miyoung Ko, Hyeonbin Hwang, Seungpil Won, Dohaeng Lee, Youbin Ahn, Mi
55		—		Tianyi Zhou, Deqing Fu, Vatsal Sharan, Robin Jia, Pre-trained Large Language Models Use Fourier Features to Compute Addi
56		—		Lucas Prieto, Melih Barsbey, Pedro A. M. Mediano, Tolga Birdal, Grokking at the Edge of Numerical Stability, The Thirtee
57		—		Xuekai Zhu, Yao Fu, Bowen Zhou, Zhouhan Lin, Critical Data Size of Language Models from a Grokking Perspective, 2401.104
58		—		Yufei Huang, Shengding Hu, Xu Han, Zhiyuan Liu, Maosong Sun, Unified View of Grokking, Double Descent and Emergent Abili
59		—		Zihan Gu, Ruoyu Chen, Hua Zhang, Yue Hu, Xiaochun Cao, Beyond Progress Measures: Theoretical Insights into the Mechanism
60		—		Breno W. Carvalho, Artur S. d'Avila Garcez, Luís C. Lamb, Emílio Vital Brazil, Grokking Explained: A Statistical Phenome
61		—		Keyulu Xu, Jingling Li, Mozhi Zhang, Simon S. Du, Ken-ichi Kawarabayashi, Stefanie Jegelka, What Can Neural Networks Rea
62		—		Benton, Gregory, Finzi, Marc, Izmailov, Pavel, Wilson, Andrew G, Learning invariances in neural networks from training d
63		—		Yoonsoo Nam, Seok Hyeong Lee, Clémentine Carla Juliette Dominé, Yeachan Park, Charles London, Wonyl Choi, Niclas Alexand
64		—		Noam Itzhak Levi, Alon Beck, Yohai Bar-Sinai, Grokking in Linear Estimators – A Solvable Model that Groks without Unders
65		—		DeMoss, Branton, Sapora, Silvia, Foerster, Jakob, Hawes, Nick, Posner, Ingmar, The complexity dynamics of grokking, Phys
66		—		Thomas Walker, Ahmed Imtiaz Humayun, Randall Balestriero, Richard Baraniuk, GrokAlign: Geometric Characterisation and Ac
