# no	arxiv	source	title per Semantic Scholar	entry
1	2302.03025	s2	A Toy Model of Universality: Reverse Engineering How Networks Learn Group Operations	Chughtai et al. (2023) B. Chughtai, L. Chan, and N. Nanda A toy model of universality: reverse engineering how networks 
2	2406.03495	id		Doshi et al. (2024) D. Doshi, T. He, A. Das, and A. Gromov Grokking modular polynomials. arXiv preprint arXiv:2406.03495
3	2402.16726	s2	Towards Empirical Interpretation of Internal Circuits and Properties in Grokked Transformers on Modu	Furuta et al. (2024) H. Furuta, G. Minegishi, Y. Iwasawa, and Y. Matsuo Towards empirical interpretation of internal cir
4	2505.18266	s2	Uncovering a Universal Abstract Algorithm for Modular Addition in Neural Networks	McCracken et al. (2025) G. McCracken, G. Moisescu-Pareja, V. Letourneau, D. Precup, and J. Love Uncovering a universal a
5	2301.05217	s2	Progress measures for grokking via mechanistic interpretability	Nanda et al. (2023) N. Nanda, L. Chan, T. Lieberum, J. Smith, and J. Steinhardt Progress measures for grokking via mecha
6	2201.02177	s2	Grokking: Generalization Beyond Overfitting on Small Algorithmic Datasets	Power et al. (2022) A. Power, Y. Burda, H. Edwards, I. Babuschkin, and V. Misra Grokking: generalization beyond overfitt
7	2312.06581	s2	Grokking Group Multiplication with Cosets	Stander et al. (2024) D. Stander, Q. Yu, H. Fan, and S. Biderman Grokking group multiplication with cosets. In Internati
8	2306.17844	s2	The Clock and the Pizza: Two Stories in Mechanistic Explanation of Neural Networks	Zhong et al. (2023) Z. Zhong, Z. Liu, M. Tegmark, and J. Andreas The clock and the pizza: two stories in mechanistic exp
